comment,toxic
"С другой стороны, модератора никто не звал, а картинку раз, и удалили.
",0.0
"Я может буду кэпом, но за бугром это давно пофиг. В частности больше половины Killing Floor 2 OST - христианский рок типа Demon Hunter или христианский металл типа Living Sacrifice. Я правда не назвал бы это роком, скорее металл, но факт есть факт...
",0.0
"Потому что нищий нацист-это коммунист.У Гитлера немцы в очередях не стояли и неграм с арабами не помогали.Ну то есть помогали но в меру
",1.0
"упоминание Давыдова и Голополосова вызывает баттхерт у пикабушников Так что, все правильно
",1.0
"Добавим к условиям задачи табличку - тут падает 50и килограммовые градины.
",0.0
"Бомбишь с куколдизма своей страны Аррррря ти кремлебот, ни слова плохого про Украину!!11
",1.0
"Каким образом вода очищается от моющих средств?
",0.0
"кунгуровцев Это еще что за новый сорт дегенератов?
",1.0
"Да там русачков достаточно живёт и они временами совершают преступления, но чёт не слышно про митинги и погромы русни. Наверно, потому что из 1000 русских и 1000 якутов будет 1 преступник, а из 1000 киргизов будет 400 преступников, не?
",1.0
"Не поверишь, зеркально, добрый ты наш правильный и смешной долбоеб.
",1.0
"Учебник , как учебник. Учат на русском языке. И очернение Совка и РИ , никак не влияет на отношения детей. Нормальные люди разделяют государство и людей.",0.0
"Заткнись, коммимразь ебучая.
",1.0
"Хохлы массово выписываются из украинцев, теперь же не модно быть нацменом. Господа украинцы, если согласны - рейджуем, не стесняемся.
",1.0
"Давно хочу что-то такое сделать, но пока не доводилось
",0.0
"Кстати, ведь при разделе имущества делятся и долги. Не прилетят ли Вам его долги, или вот эти 500 200-не совместно ли нажитые кредиты?
",0.0
"Как задолбал этот одесско-израильский говор, аж с прошлого века...
",1.0
"та нахуй оно мне надо, я тупа пажилые отрезки смотрю на ютубе. не ну а що? хардплей дурачок балконный кст
",1.0
"неплохого историка Клима Кстати, к 2020му году счет Ссаныч:Понасенков по числу монументальных монографий о величайших войнах, охватывающих к тому же быт последних двух веков, будет 0:2
",0.0
"Разрешите украсть вашу жопу?
",1.0
"На тюрьме ты либо с Ворами либо с мусарами. В рашке все зоны красные, маня.
",1.0
"Я один ждал момент когда он кость на ноге перебьет?
",1.0
"Что ни рейтинг, так начинается: Аааа... Ну понятно, опять всё куплено. Опять Россию обижают. Верить ничему нельзя. Откуда это ощущение такой невероятной собственной важности? Почему кто-то реально считает, что всем не насрать конкретно на Россию? Откуда мнение, что все эти Амнести интернейшнл, Блумберг, МБР, Трансперенси интернейшнл и прочие только и думают о том, как бы представить нашу страну в плохом свете? P.S. Вы проверили? У вас есть другие данные? Тогда, вероятно, стоит ими поделиться, чтобы этот ужасный поклёп разбить в пух и прах, вы так не считаете?
",1.0
"Хотел подписаться, но... С такой фантазией мне не по пути.",0.0
"Суть: Росстат политизирован на 200 и выдаёт новости какие надо первому каналу ведь ВШЭ провела свои исследования и выяснила что инфа о росте экономки не соответствует действительности. Будет ли он наказан по статье о фейках в сми неизвестно. паста по ссылке: Росстат сообщил о рекордных за почти два года темпах промышленного роста в России по его данным, выпуск промышленных предприятий резко ускорился с 1 процента в январе до 4,1 процента в феврале 2019 года. Расчеты Росстата удивили экономистов, поскольку три предшествующих месяца в экономике наблюдалось поступательное замедление темпов промпроизводства. Об этом пишет газета Коммерсантъ . Как поясняет издание, данные Росстата не соответствуют ни ожиданиям экономистов, ни даже опросным опережающим индикаторам самого статистического ведомства. Аналитики же отмечают, что если принять во внимание сезонный и календарный эффекты, то роста темпов промышленного производства с начала года вообще не наблюдается. МАТЕРИАЛЫ ПО ТЕМЕ 00:01 11 марта Здоровое падение Почему экономические кризисы спасают миллионы жизней, но из-за них умирает так много людей В Высшей школе экономики (ВШЭ) провели собственные расчеты на основании сырой статистики, учли сезонные факторы и пришли к выводу, что в феврале 2019 года никакого роста темпов промышленного производства в экономике России вообще не наблюдается. Во ВШЭ пояснили, что в феврале 2019-го было на один рабочий день больше, чем в феврале 2018-го отсюда видимость роста производства. При этом во ВШЭ отметили, что если при расчетах все же учесть сезонный эффект и календарность, то тогда получается, что промпроизводство два месяца не только не растет, но заметно снижается. Росстат неоднократно подвергался критике за неточные подсчеты. Так, по итогам 2018 года ведомство заявило о росте строительной отрасли России на 5,3 процента, хотя еще в ноябре годовые темпы роста оценивались всего лишь в 0,5 процента. Эти высокие показатели затем позволили Минэкономразвитию оценить рост ВВП по итогам года не на 1,8 процента, как прогнозировалось, а на 2. Аналитики раскритиковали эти цифры и сочли их фиктивными. Методологию Росстата также критиковал первый вице-премьер, министр финансов Антон Силуанов, сказав, что качество расчетов агентства ужасное , а метод непрозрачный . Росстат с 2017 года находится в подчинении у министерства экономического развития, которое возглавляет Максим Орешкин. Ведомством с 2009 по 2018 год руководил Александр Суринов. В декабре 2018-го он подал в отставку, ему на смену пришел бывший чиновник Минэкономразвития Павел Малков.
",0.0
"Третий год я борюсь с остеохондрозом, и с высоты опыта говорю - херня это все. Помогает на уровне гомеопатических препаратов, ну во всяком случае - мне. Что точно помогает это уколы Мексидола, Актовегина, противовоспалительных, и массаж. И после курса примерно полгода жить можно, потом - заново.
",0.0
"Ок. Раз уж крахоборничать то пусть будет максимум не - 1 Бар, а - 1,013 Бар. При полной откачке, скажем, воздуха из емкости, на емкость будет воздействовать атмосферное давление, и большее разрежение, чем оно давит, ваккумметр не покажет. То есть максимум - 1 атмосфера, или 1,013 Бар.
",0.0
"Не надо всю, Галицию нахуй надо слать, пусть пшеки забирают даром.
",1.0
Я бы тоже. Ох уж эта извечная проблема - собрать компанию для игры и доиграть до конца.,0.0
"Сорри если не по теме поста. Есть микроволновка, при запуске даже пустой начинает сразу сверкать как будто туда фольгу закинули. В чем может быть проблема? Как то не горю желанием новую покупать, а с микроволновками дело не имел. Заранее спасибо)
",0.0
Там электролиты что-ли стоят?,0.0
"Насколько критично иметь местную наличку? Кароме автобусов ещё где-то требуется? Как там вообще с безналичными платежами?
",0.0
Сильная и независимая?,0.0
"между прочим, хорошо получилось!)
",0.0
"что генетически русские ебать даун
",1.0
"Вполне возможная история
",0.0
"Ой ли?Ни характерного выступа сзади, ни штифта крепления спусковой тяги ты на нем не видишь? Именно что конструкция МЦМ взята за основу.
",0.0
"Все фильмы как на подбор. Особенно Железная хватка
",0.0
"Садитесь, конечно, но на втором стуле там это... Короч, смотрите сами.
",0.0
"Это если метро не считать, тогда одной руки
",0.0
"Интересно было бы посмотреть ваше резюме, можно без компаний и контактов разумеется. Просто с ключевыми навыками и чего добился
",0.0
"С РАМЕНСКОГО ДО ВЫХИНО ЧЕРЕЗ ЖУКОВСКИЙ
",1.0
"шорт дэй релакс кофебрейк В какой стране дело происходит?
",0.0
"Ну там то сказано, что нужно отступить 500 мм от горючих материалов и описан один способ, как уменьшить это расстояние, но он мне не подходит.
",0.0
"Тут все таки совпадение, потому что плашкаа прям ему в ракетку попадает
",0.0
"Ох. Моя тупая головушка совсем забыла про собственную бабушку. Тоже с деменцией, но было за 70. Всё рвалась в старый дом в деревне. Забывала абсолютно всё в течение получаса. Несложно догадаться, что её довело до такого состояния. Про таблетки - пока нет необходимости. Спасибо!
",1.0
"у меня такой есть, например дсп и мдф прижигает и пыль мелкая повсюду, режет всё, но металл не очень из за большей ширины там мм 4-5
",0.0
"Для перемоги все средства хороши.
",0.0
"Билеты из банка приколов.. Да, ничего святого у людей нет.
",0.0
"https: goo-gl.ru 4UPn
",1.0
"Быстро кнопку скрыть на место вернул, чмо.
",1.0
"Как это нет справочников? Стационарные телефоны как правило устанавливались очень давно, большинство еще в советское время. Тогда телефонные справочники были у каждого абонента. Можно поспрашивать у старожилов имеющих стационарные телефоны, они такие вещи никогда не выбрасывают.
",0.0
"с максимальной анонимностью. Чтобы можно было проводить сделки за пределами рынка и не влиять на его курс Как раз нет. Рынку нужны монеты, которые бы признавались государствами и легко обменивались бы на фиат, работали бы быстро и поддерживали смарт.контракты А вот уже эти монетки будут менять на анонимные, которые никакой банк обменник тебе на фиат не поменяет. Именно потому менее анонимная, чем биток, монетка Пашки может стать очень годной штукой. Собственно потому сейчас новости о пашемонетках обваливают курс битка.
",0.0
"в Окленде русских овердохера. идешь по улице и по одну руку говорят китайцы, по другую- русские. и как-то русские не очень спешат все бросать и возвращаться на Родину.
",1.0
"Ты бы с жопы своей сначалы вытащил бы хуй.
",1.0
"Хорошая фотография! Потрясающий город. Прям сразу вспоминаются атмосфера, пиво, мясо..
",0.0
"Я больше удивлен пожарке на базе 53 газика. Никогда таких не видел. Думал, что все пожарки сплошь 130 131 зилами были.
",0.0
"Говно ваш гипноз,и наркологи те еще шарлатаны.. лишь бы деньги с больного высосать..
",1.0
"Были мы там с женой, на этих гонках) все именно так, 10 минут ждешь, пока все проедут круг, потом минуту крутишь головой за этими вжиками и снова ждешь) Самое интересное это в баре трансляцию смотреть, а не на трассе - шумно, в интересных местах еще и тесно, к трассе не пробраться, города перекрыты, до магазинов сложно дойти, до места проживания тоже)
",0.0
"У нас на прошлой неделе по химии(физико-химические методы исследования материалов ...) лекцию читал лектор(профессор) и разговор зашел про жесткость воды, фильтры для воды. Он сказал, что следует менять фильтры по инструкции, которая указана в коробке, паспорте. Фильтр будет чистить до определенного момента, а дальше травить Вас, если не будете менять. Мы дома тоже поставили, скоро буду менять картриджи, срок уже вроде прошел. Спасибо за совет. Оригинальные картриджи очень дорогие. Щас буду в инете искать.
",0.0
"Я тоже с 16 лет плотно знаком с алкоголем, по студенчеству вообще мрак, 5 лет как во сне прошли. Потом взял себя в руки, казалось бы. Не пил вообще 3 года. Потихонечку тоже подсел на пиво. Сначала это по 1.5л. 2 раза в неделю, через год уже по 3- 3,5 л. в день, 3-4 раза в неделю, сам не заметил как перешёл на тяжёлую артиллерию... Через пару тройку лет стабильный рацио
",0.0
"Не припомню, чтоб там донат влиял на боеготовность. Либо часами дротить в мультиплеер, либо задонатить. Сингплеерные игры с донатом заранее сделаны так, чтобы вынуждать донатить. Либо гриндить. Что портит впечатление от игры. Дед спейс я прошёл в районе 90 времени используя самый первый резак и ничего страшного не случилось. С третьим такого даже близко не прокатило. Ты ещё скажи, что в одиссее или шадоу оф вар гриндить не надо и всё проходится легко без доната.
",0.0
"Вот и подтянулось поколение кока-колы. Нахуй думать своей головой. За тебя же уже всё придумано. Ну, хуле тут, топи за запад, умник сука.
",1.0
"ну, один из 5 взял карту и воспользовался - уже профит, девочке з п все равно платить, карты по итогу ничего не стоят, так что, всё очень обоснованно
",0.0
"Ну вот честно, мне от этого МФЦ ни холодно, ни горячо. Не знаю как другим. И все равно МФЦ за 20 лет правления так себе результат. Но удобно, не спорю)",0.0
"Не. У матери нокия новая кнопочная. Дохлая батарея, не лучшая связь, глючит и еще в результате её действий лопнул экран, а вот защитное стекло целое и невредимое.
",0.0
"Когда деньги пытаются заработать на жизни и здоровье ребенка это ужасно. По законам капиталистического хозяйствования и как нам тут постоянно втирают либерально настроенные граждане, прибыль - это высшая ценность. Так что ничего удивительного.",0.0
"12 лет моей безаварийной езды мне стоили 2600 вместе с вписанным отцом. Сейчас страховка мне вышла 3700 после его дтп
",0.0
"нам на работе как то на новый год и 23февраля по половинке яблока дарили,на целое видать поскупились.а с Амур. 1500кг платины за сезон.
",0.0
"Пусть страдает, мало того, что убервсратая, так ещё и выёбывается! Совсем охуела, пусть нахуй идёт!
",1.0
"Риски были прочитаны, но я плох в математике)
",0.0
"Сейчас бы на алике закупаться, владельцам авто за 2 ляма, перед экспедицией на пару месяцев.
",0.0
"Если не получится то и индустар сгодится, на худой конец ) А состояние - не имеет значение, главное чтоб линзы в порядке более-менее. Ремонтировать механику - как раз мое хобби ) Кстати могу почтой отправить кому нибудь вашему знакомому поближе к Донецку, откуда уже вам проще будет получить посылку.Можно по этому поводу списаться в соцсетях.
",0.0
"Да, тут много похожих выводов, мне надо было как-то это осознать и взвесить за и против. Реально придётся выздоравливать, а железо отложить до лучших времён. Это старый снимок, проблеме шесть лет, но смысл понятен. Гоняю по полной, ноги разные, с палкой конечно, но есть большое незаконченное дело, которое невозможно было бросить. Рукожопы, что за приличные бабки это слепили съехали конечно, там даже профессор есть)..
",0.0
"Наши тоже не сидели в одном месте. Бегали по всему району. Однако, кто хочет, тот найдёт.
",0.0
"в голове звучало что-то вроде да давай дома посидим в уюте, интернетик полистаем, поиграем во что-нибудь но ведь это действительно лучше, чем куда-то ходить)",0.0
"Мне так нравится этот новый тренд. Население внезапно выучило слово гомеопатия и ныне каждый разговор сводится к ней. Даже люди не обращавшиеся за медпомощью все равно предпочитают вылить ковш грязи на медицину тыкнув на гомеопатию. Ну да черт с ним, не об этом речь. Речь вот о чем, к примеру. Вы спросите своих девушек или девушки спросите себя, какой у вас шампунь стоит на полке и почему он? А потом совместите это с тем, что внешнее воздействие не оказывает никакого влияния на рост и структуру волос. Кроме миноксидила. А теперь не забывайте каждое утро говорить ей или себе в зеркале : Дура, дура, дура . Но вряд ли правда? Речь не о пользе или вреде того или иного, а о вашей последовательности в суждениях. Вы готовы обкладывать грязью рекламщиков гомеопатии, а людей использующих её называть дураками, при этом продолжать верить маркетологам чудо-шампуней. Не верим в одни причуды, но верим в иные? Нет ли в этом отсутствия вашего мнения, а лишь ведомость трендам? А сколько из вас, противников гомеопатии, арбидолов и прочего зашло дальше всем известного расстрельного списка препаратов? Почитали статьи, исследования? Что то мне подсказывает, что часть и до этого списка не дошло, а просто вторят то, что услышали из третьих уст. Коммент не преследует цели оправдать то или иное, а носит иной характер.
",0.0
"Фёдор Конюхов совсем охренел
",1.0
"Ну кто говорит: ты конченая , только таких и представляют, в понимании женщина, а той только таким и представляется, ее идеальный мужик, все у них путём....
",1.0
"В СОВКЕ САМОЕ ЛУЧШЕЕ ОБРАЗОВАНИЕ! - ПО МНЕНИЮ ЛЮБИТЕЛЕЙ ЗАРЯЖАТЬ ВОДУ ОТ ТЕЛЕВИЗОРА В СОВКЕ САМЫЕ КРАСИВЫЕ ДЕВУШКИ! - ПО МНЕНИЮ НОВИОПОВ В СОВКЕ САМЫЕ ЛУЧШИЕ ТОВАРЫ!- ПО МНЕНИЮ ЛЮБИТЕЛЕЙ ПОДТИРАТЬ ЖОПУ ГАЗЕТОЙ, А НЕ ТУАЛЕТНОЙ БУМАГОЙ В СОВКЕ САМАЯ ЛУЧШАЯ МЕДЕЦИНА! - ПО МНЕНИЮ САМОГО АБОРТИРУЕМОГО НАРОДА В СОВКЕ САМАЯ ЛУЧШАЯ ТЕХНИКА! - ПО МНЕНИЮ ЛЮБИТЕЛЕЙ ПЛАГИАТА В СОВКЕ САМЫЙ ВЫСОКИЙ УРОВЕНЬ ЖИЗНИ! - ПО МНЕНИЮ ЛЮБИТЕЛЕЙ ДЕФИЦИТА
",1.0
"В случае с устройством, с которого невозможен выход в интернет на техническом уровне, достаточно запросить у оператора imei устройства с которого была оформлена подписка. А дальше их чмырить по факту, что устройство с данным imei не может выполнять подобные операции, а значит это явное мошенничество оператора.
",0.0
"Я сейчас на МТС - 275р мес за безлимитный интернет по России и 500минут на всех операторов. До заявления на переход было в 2 раза дороже
",0.0
"Не корми тролля, не отвечай ему. Этот ливер тут против всего.
",1.0
"И как с этим пунктом устанавливать виновного, когда нет свидетелей ДТП и регистраторов? Каждый будет гнуть свою линию, согласно которой он будет прав. Ну и количество подстав сильно увеличится. Ну хоть немного наперед думайте. Выйдет только хуже.
",0.0
"Когда очередные санкции к России применят, за вмешательство в выборы?
",0.0
"Охуенно же. Вот бы в к нам каклы понаехали. Хлопал бы хохляндскую пизду. Шлёп-шлёп-шлёп.
",1.0
"Хм... А чего тогда учителя жалуются на маленькую ЗП, когда можно без гемора зарабатывать столько? Я хз, чем мог бы заниматься, чтобы столько получать.
",0.0
"Анекдот на русский лад,евреи ради своих детей и семейлбы расшебут
",1.0
"не гейское. а почему ты полумал о геях?
",1.0
"Правда. И не только шведы. Некоторые немцы так делают, хотя у них дешевле, чем в Швеции.
",0.0
"Что там в побочке? Я решился - 3 недели назад сделал)
",0.0
"Что она у тебя такая жирная? На шаверму её готовишь?
",0.0
"Я просто общаюсь Пидораха пидораха Скотоублюдии пидорашки народ такой дранный Я просто общаюсь HOHLYATUS VULGARIS
",1.0
"Шарий правильно стебёт, а ты нет. На ebach.ru тебя бы обоссали
",1.0
"Белочка! Уйди к другому!
",1.0
"в отделку по хорошему еще около трех млн басик с оборудованием итого почти 120
",0.0
"Всегда думал что город писек это Иваново.
",0.0
"Все, эту ебаную чушку, подсоса орущей свиноты можно считать слитым
",1.0
"Я когда мехом и кожей стал заниматься, то сперва в эту отрасль вник и только потом бросил основную работу. А так да, первое время крайне тяжко.
",0.0
"Уже научились делать сверпроводники при температуре - 50 градусов?
",0.0
"к сожалению почти все молодые девушки сейчас такие, причем замечу и в реальности с ними тоже знакомиться очень сложно, ибо девушек впринципе сейчас мало, и с ними знакомяться все кому не лень везде и всюду
",0.0
"Не совсем. Если вдумчиво сесть с наушниками и вылавливать маркеры, о которых обыватель не знает ничего, то можно много накопать. Например, искать следы влияния звуков друг на друга. Следы изолированных звуков. Реконструировать фонемы, в которые складываются звуки в разных позициях. Разные следы искать, короче. Но это настоящая работа. Профессор Пикеринг подтверждает.
",0.0
"Скотина блять краснопузая, бибу блять ему за щеку завалить
",1.0
"Не знаю, что такое торговая матрица, но что-то мне подсказывет, что не этим занимаются управленцы.
",0.0
"а че не по 100гр в день скидывать то ? я вот тоже без основательно пиздану например можно скидывать 50кг и что?
",0.0
"Лига художников -- можно Ивашке уши Мики Мауса, или как нибудь по другому объединить двух балбесов в один персонаж
",1.0
"БЛЯТЬ! Опять ржу, как представлю минет вприкуску с пирогами! Чувак ты уникум!!!!!
",1.0
"бронетрусики не спасут от снега жёпу..
",1.0
"это королевская битва, батр рояр. Годный фильм. Откуда жанр в играх и пошел.
",0.0
"У меня нет проблем выпилить под нужную форму. Да и платы халявные. И часто я иду именно от оправы, когда людЯм вес критичен. Ну в смысле цена за грамм. А под форму оправы проще выпилить.
",0.0
"Блин, , до сих пор хрюкаю и ржу! Спасибо тебе! Ты мне создал хорошее настроение своим уточнением на длительное время! :-D
",1.0
"А что они поменяли? Мне всегда было интересно, что они перелопатили? В Вов не играл особо, но описание сюжета читал на разных сайтах. В стратегии играл все, кроме первой части.
",0.0
"Что-то Понася совсем понесло. Смешно выглядят потуги разных балбесов-драчунов с рингов на имидж брутальности и некой традиционной (?) мужественности. Они ведь, как и девицы с шоссе, зарабатывают на хлеб в трусах и физическим трудом, в контакте с телом других мужчин. И за этот контакт они получают деньги.
",1.0
"Может и смогут, а может и нет. Мне не нравится что ТС переигрывает про место его и моего жительства, и я докопался. Так как он может быть моим знакомым, другом, соседом. Просто не нравится когда кто то явно врёт. Но все равно итог один, все умрем, рано или поздно, и тогда узнаем, превратимся ли в кучку пепла и на этом все, или все таки что то там есть)
",0.0
"А давайте не путать феминизм и идиотские высказывания тупых и страшных женщин, а? Феминизм-это желание иметь равные права в работе и в жизни, но быть женщиной, слабым прекрасным полом, как и происходит сейчас в нормальном обществе. Радфемки-это чудаковатые бабы, которые просто орут, что мужчины им не нужны и вообще все козлы. Во-вторых, каждая женщина и каждый мужчина имеют право выбирать спутника исходя из своих критериев. Другой вопрос, что под их критерии может рикто не попасть, или идеал их сам не захочет. Но осуждать их за это, смысл?
",1.0
"Даёт в жёппу хачам и прочим ниграм
",1.0
"подхрюкнул хряк блядский xD
",1.0
"Это же что должно происходить чтобы откатыши напоминали что их тут нет?
",0.0
"Я так понимаю само МО к газу подключено? Проблема в газораспределительной сети?
",0.0
"Эм, нет, никто этого пидорасы не оболгал, он даже потом извиняться начала но он так всех заебал даже на съезде уже прогнившей КПСС его просто захлопали дабы не слушать.
",1.0
"Такая хуня уже была реализована на ИМХОнете. Можно было увидеть пользователя, у которого оценки фильмов, книг совпадали с твоими. И далее по убыванию. Самое большое это 96 совпадений, и далее по убыванию. Всё было заебись, пока проект не закрыли.
",0.0
Может он донаты на похороны бабке собирает?,0.0
"Потому что телка не только проехала, но и превысила скорость. Хотя бы за это. Это я уже молчу, что на одном из старых видео было видно, что перед ней пролетела еще одна машина. Я лично уверен, что она гонялась с кем-то. Хотя нигде абсолютно вот эта вторая машина не упоминалась. Так что я все еще считаю, что их вина ну никак не равнозначна. И т.н. раскаяние по мне не может считаться смягчающим обстоятельством.
",0.0
"Посмотрел твой профиль. Единственный авторский пост, и тот не зашел.. Остальное сплошная политота.
",0.0
"Да норм магазин, в чем ажиотаж.
",0.0
"И эти люди ещё учат меня не ссать в тапки!
",1.0
"В Тюмени большинство светофоров с пешеходной фазой, поэтому пешеходы ходят в том числе и по диагонали через весь перекресток!
",0.0
"Хуякбы. Старый хуй просто нихера не видит уже вот и пользуется лупой. У меня бабка такая же близорукая пизда и хватается залупу мою , когда влом очки искать. А ты просто окатышь обсанный.
",1.0
"Самый прикол был про потрещать в вырезанном комменте о Гейгере
",1.0
"Если хозяин ещё и говно за ними убирает на улице , то готов предаваться умилению. Пока что , в связи с оттепелью, проступанием говна кругом, меня собаки раздражают..",0.0
"Заморженные есть категорически отказывается, говорит зубы ломит от холодного.Кормим исключительно живым продуктом
",0.0
"А я когда квартиру купил, каждый месяц теряю на квартплату. И машину когда купил, теряю на бензин, то, страховку.
",0.0
"Мужик получит сотрясение мозга, а ты минимум условку. А если он скопытится, ударившись затылком, то вообще беда
",1.0
"Модератор срочно удали!!!
",1.0
"Удельная проводимость стали 10 000 000 Удельная проводимость водопроводной воды 0.0036 Вода 36 мкСМ м Сталь 10МСМ м Так что пластиковые трубы - это хорошо
",0.0
